我在“无用良品”领域深耕多年，作为吐槽嘉宾，也要在网购红黑榜上拥有一席之地。很多朋友在网上买了一些令自己气愤、和实物不符的商品，想要转卖也卖不出去，不如手机点击http://t.cn/AirONe8a ，让它上黑榜给你赢万元现金是它唯一的出路！ps:当然你也可以把我的精品在红榜上晒一晒，中奖机会更高哦！ ​​​,Fri Nov 15 09:00:03 +0800 2019,2224,448,36
自制全自动护肤器 http://t.cn/AirZviWC ​​​,Sun Nov 10 18:00:41 +0800 2019,42637,7884,7048
一个礼拜研究制作了一个可以连续砸核桃的大锤。#手工耿的手工# http://t.cn/AiBMcLVH ​​​,Mon Nov 04 12:10:27 +0800 2019,29117,2621,1397
[允悲]第一次靠脸上热搜 ​​​,Sun Oct 27 20:18:25 +0800 2019,17306,1032,358
自制动感单车豆浆机 http://t.cn/Ai3mrbjw ​​​,Tue Oct 22 20:14:53 +0800 2019,61666,5420,3147
"自制洗车神器，在宝沃工厂喷雷佳音http://t.cn/Ai3tlH7o 
http://t.cn/Ai3tlH7p ​​​",Fri Oct 18 18:00:04 +0800 2019,7015,557,137
征集一下，大家网购见过啥东西最魔幻？我挑评论里足够邪门的买来送评论人 ​​​,Wed Oct 16 10:21:38 +0800 2019,7123,1142,311
自制跑步充电器 http://t.cn/AiuV1Flu ​​​,Thu Oct 10 20:42:22 +0800 2019,36673,3267,2376
自制防健忘小药箱 http://t.cn/AimiMafv ​​​,Thu Oct 03 08:06:41 +0800 2019,15227,1025,287
"陈赫一出来 感情戏就崩了  
#三分钟看电影##经典电影推荐# http://t.cn/Ain8Qx8w ​​​",Fri Sep 27 17:33:06 +0800 2019,11482,1403,1714
自制手机散热器#手工耿的手工# http://t.cn/Ainc05Bl ​​​,Mon Sep 23 11:35:07 +0800 2019,17395,1359,458
感谢@智选假日酒店 让朋友体验和我一起制作一个超响的汽笛闹钟，希望他每天能为自己向往的生活按时起床，努力工作。做个#有智青年GO#http://t.cn/AinhM2qW ​​​,Fri Sep 20 17:45:01 +0800 2019,27145,1887,648
跑鞋雨刷的制作 http://t.cn/AiEdnUaE ​​​,Wed Sep 18 11:39:54 +0800 2019,27119,2305,973
"我觉得这批麦当劳玩具背后有几种可能： 
1、制造玩具时模具出错，将错就错 
2、为未来更大的手笔做铺垫 
3、这个设计师和我一样无聊 
4、麦当劳老板也和我一样无聊 
5、自暴自弃 ​​​",Tue Sep 17 16:30:01 +0800 2019,6697,1208,216
"什么样的鞋能防水？9月17号，我将接受造浪挑战！今天先曝光两个小道具：我为@361度 雨屏跑鞋特别定制的【防雨罩+雨刮器】。 
http://t.cn/AiReMvhl  http://t.cn/AiReMOQ8  http://t.cn/AiReMdZc  http://t.cn/AiRexzsW http://t.cn/AiETEHeI ​​​",Sun Sep 15 16:00:02 +0800 2019,8737,855,275
千万不要随便帮孩子做衣服............................................................... ​​​,Tue Sep 10 13:48:01 +0800 2019,269509,13236,39256
自制省力穿鞋鞋盒 http://t.cn/AiEagALq ​​​,Tue Sep 10 17:02:45 +0800 2019,34511,3042,861
一次创业的经历.................... ​​​,Fri Aug 30 11:03:02 +0800 2019,140113,5625,31637
自制臂伞，方便携带，使用时还可以增加自信心。 http://t.cn/Ai8OQPDg ​​​,Wed Aug 28 12:13:59 +0800 2019,65198,6876,2809
自制共享板凳，创业好项目 http://t.cn/AiQKfwXm ​​​,Wed Aug 21 17:34:21 +0800 2019,231139,15922,15523
自制七夕单身狗撒狗粮装备，草莓罐儿 http://t.cn/AiTbtHMP ​​​,Wed Aug 07 17:27:42 +0800 2019,37977,4805,1943
[嘻嘻]越来越好了,Tue Aug 06 21:38:03 +0800 2019,4858,346,143
#红人的诞生# 啊啊啊啊啊啊啊啊活的@手工耿 ​​​,Mon Aug 05 16:36:46 +0800 2019,1355,83,10
转发微博,Sun Aug 04 12:47:23 +0800 2019,1548,176,27
http://t.cn/AiYpMib8,Sat Aug 03 21:01:07 +0800 2019,5399,272,20
转发微博,Fri Jul 26 21:36:37 +0800 2019,33905,2113,1609
自制鲁班七号装备 http://t.cn/AijJeSFp ​​​,Fri Jul 26 18:03:27 +0800 2019,158445,7711,4223
8月3-5日 #超级红人节#我在成都等你！4号上午10点，我会在互动展区和粉丝见面。我这里有5张粉丝票，想来的可以私信我哦！最好是成都本地的粉丝~来和我一起见证#红人的诞生#吧！ ​​​,Tue Jul 23 06:47:11 +0800 2019,5211,500,47
http://t.cn/RgnHAv0,Mon Jul 22 02:11:34 +0800 2019,11552,1062,202
自制笑容辅助器，用物理的方法让笑容慢慢呈现出来 http://t.cn/Ail283t9 ​​​,Thu Jul 18 17:38:14 +0800 2019,166199,19681,14069
[嘻嘻]我生日了，感觉时间过得真快。 ​​​,Tue Jul 16 14:21:37 +0800 2019,31780,2100,127
[嘻嘻]谢谢你那个老粉丝帮我投的票,Tue Jul 16 07:26:51 +0800 2019,3968,148,98
自制胸口碎大石套装，大锤在手，天下我有。危险表演，请勿模仿[doge] #堡垒前线破坏与创造[超话]##手工耿的手工#http://t.cn/AiW4qkxJ ​​​,Fri Jul 12 19:25:01 +0800 2019,41542,3219,2371
千万不要乱写快递收件人的名字........................................#超级红人节# #红人的诞生# ​​​,Fri Jul 12 11:49:01 +0800 2019,101097,4362,14028
[嘻嘻]谢谢大家这几天的投票支持。官方给了我五张红人节限量版盛典通票。如果需要的话我会在评论里抽取五人相送。#超级红人节# http://t.cn/AiOR2t9R ​​​,Tue Jul 09 17:06:15 +0800 2019,4931,1620,239
自制美女计步器。#7.99元赢新科沃兹#  @雪佛兰 http://t.cn/Ai0ovoPG ​​​,Mon Jul 01 18:00:02 +0800 2019,31910,2265,1293
可穿戴试多手机拍摄器 http://t.cn/AipYkoe8 ​​​,Tue Jun 25 18:40:09 +0800 2019,21147,1990,617
[允悲]在日本的朋友说我上电视了。主持人是不是在夸我？ http://t.cn/AipC6Ycb ​​​,Mon Jun 24 20:45:16 +0800 2019,44049,1780,1042
